1992,like,152,0.0
1992,never,152,0.0
1992,give,148,0.0
1993,love,451,0.5
1993,like,273,0.0
1993,know,265,0.0
1993,baby,258,0.0
1993,want,181,0.0
1993,give,165,0.0
1993,make,143,0.0
1993,one,142,0.0
1993,time,130,0.0
1994,love,398,0.5
1994,know,291,0.0
1994,baby,262,0.0
1994,want,170,0.0
1994,like,160,0.0
1994,night,152,0.0
1994,make,147,0.0
1994,never,140,0.0
1994,see,128,0.0
1995,love,469,0.5
1995,know,289,0.0
1995,want,246,0.0
1995,baby,240,0.0
1995,like,162,0.0
1995,time,144,0.0
1995,see,135,0.0
1995,one,128,0.0
1995,give,127,0.0
1996,love,270,0.5
1996,want,256,0.0
1996,like,256,0.0
1996,baby,244,0.0
1996,know,212,0.0
1996,make,151,0.0
1996,one,145,0.0
1996,see,130,0.0
1996,back,129,0.0
1997,love,332,0.5
1997,like,318,0.0
1997,know,264,0.0
1997,make,194,0.0
1997,baby,194,0.0
1997,want,174,0.0
1997,see,153,0.0
1997,never,145,0.0
1997,time,136,0.0
1998,know,381,0.0
1998,love,339,0.5
1998,like,275,0.0
1998,baby,262,0.0
1998,want,259,0.0
1998,make,227,0.0
1998,see,209,0.0
1998,one,203,0.0
1998,need,171,0.0
1999,know,379,0.0
1999,love,352,0.5
1999,like,250,0.0
1999,give,199,0.0
1999,baby,195,0.0
1999,want,183,0.0
1999,make,176,0.0
1999,never,146,0.0
1999,see,140,0.0
2000,love,384,0.5
2000,like,352,0.0
2000,know,343,0.0
2000,baby,280,0.0
2000,want,215,0.0
2000,girl,207,0.0
2000,make,188,0.0
2000,see,170,0.0
2000,thing,162,0.0
2001,know,385,0.0
2001,love,310,0.5
2001,like,249,0.0
2001,want,234,0.0
2001,baby,222,0.0
2001,make,179,0.0
2001,night,167,0.0
2001,see,166,0.0
2001,way,162,0.0
2002,know,346,0.0
2002,baby,330,0.0
2002,like,277,0.0
2002,love,270,0.5
2002,girl,251,0.0
2002,need,207,0.0
2002,make,195,0.0
2002,see,192,0.0
2002,want,174,0.0
2003,love,430,0.5
2003,like,394,0.0
2003,know,394,0.0
2003,see,261,0.0
2003,baby,256,0.0
2003,girl,253,0.0
2003,want,231,0.0
2003,give,208,0.0
2003,make,189,0.0
2004,like,614,0.0
2004,know,454,0.0
2004,love,295,0.5
2004,baby,248,0.0
2004,make,241,0.0
2004,girl,239,0.0
2004,want,238,0.0
2004,back,218,0.0
2004,one,191,0.0
2005,know,462,0.0
2005,like,346,0.0
2005,girl,321,0.0
2005,love,266,0.5
2005,want,246,0.0
2005,make,220,0.0
2005,baby,208,0.0
2005,see,203,0.0
2005,back,196,0.0
2006,know,449,0.0
2006,like,339,0.0
2006,see,301,0.0
2006,girl,249,0.0
2006,make,244,0.0
2006,one,227,0.0
2006,love,211,0.5
2006,baby,204,0.0
2006,time,192,0.0
2007,like,456,0.0
2007,know,414,0.0
2007,make,315,0.0
2007,love,256,0.5
2007,see,227,0.0
2007,way,212,0.0
2007,girl,209,0.0
2007,give,184,0.0
2007,want,184,0.0
2008,like,502,0.0
2008,know,391,0.0
2008,love,340,0.5
2008,take,260,0.0
2008,make,225,0.0
2008,see,223,0.0
2008,girl,187,0.0
2008,want,168,0.0
2008,time,165,0.0
2009,like,433,0.0
2009,love,362,0.5
2009,know,340,0.0
2009,want,271,0.0
2009,girl,250,0.0
2009,see,222,0.0
2009,one,195,0.0
2009,right,162,0.2857142857142857
2009,make,161,0.0
2010,like,520,0.0
2010,love,418,0.5
2010,know,333,0.0
2010,baby,323,0.0
2010,make,279,0.0
2010,right,199,0.2857142857142857
2010,want,193,0.0
2010,take,193,0.0
2010,girl,180,0.0
2011,like,429,0.0
2011,baby,287,0.0
2011,know,272,0.0
2011,love,260,0.5
2011,girl,230,0.0
2011,make,217,0.0
2011,see,174,0.0
2011,want,173,0.0
2011,tonight,164,0.0
2012,like,348,0.0
2012,love,305,0.5
2012,know,279,0.0
2012,baby,254,0.0
2012,never,206,0.0
2012,make,179,0.0
2012,one,176,0.0
2012,night,161,0.0
2012,girl,157,0.0
2013,love,358,0.5
2013,know,323,0.0
2013,like,307,0.0
2013,night,245,0.0
2013,make,191,0.0
2013,baby,176,0.0
2013,want,163,0.0
2013,girl,140,0.0
2013,see,130,0.0
2014,like,371,0.0
2014,love,289,0.5
2014,know,282,0.0
2014,want,197,0.0
2014,night,191,0.0
2014,baby,170,0.0
2014,tell,170,0.0
2014,give,169,0.0
2014,see,152,0.0
2015,like,425,0.0
2015,love,350,0.5
2015,know,306,0.0
2015,need,187,0.0
2015,baby,185,0.0
2015,tell,180,0.0
2015,night,178,0.0
2015,take,177,0.0
2015,give,174,0.0
