2008,love,340
2008,take,260
2008,make,225
2008,see,223
2008,girl,187
2008,want,168
2008,time,165
2009,like,433
2009,love,362
2009,know,340
2009,want,271
2009,girl,250
2009,see,222
2009,one,195
2009,right,162
2009,make,161
2010,like,520
2010,love,418
2010,know,333
2010,baby,323
2010,make,279
2010,right,199
2010,want,193
2010,take,193
2010,girl,180
2011,like,429
2011,baby,287
2011,know,272
2011,love,260
2011,girl,230
2011,make,217
2011,see,174
2011,want,173
2011,tonight,164
2012,like,348
2012,love,305
2012,know,279
2012,baby,254
2012,never,206
2012,make,179
2012,one,176
2012,night,161
2012,girl,157
2013,love,358
2013,know,323
2013,like,307
2013,night,245
2013,make,191
2013,baby,176
2013,want,163
2013,girl,140
2013,see,130
2014,like,371
2014,love,289
2014,know,282
2014,want,197
2014,night,191
2014,baby,170
2014,tell,170
2014,give,169
2014,see,152
2015,like,425
2015,love,350
2015,know,306
2015,need,187
2015,baby,185
2015,tell,180
2015,night,178
2015,take,177
2015,give,174
